"","Time","TMPM","Rain","LF","VP","Sat_def","Rad_Int","GlobRad","Wind","TMPMN","TMPMX"
"1789",36123,-1.1,0,88,5,0.7,14.4,1.25,1.3,-3.6,-0.2
"1790",36124,0.1,0,91.5,5.6,0.5,12.9,1.11,1.3,-0.8,1.2
"1791",36125,0.2,3,91.1,5.6,0.6,27.4,2.37,1.6,-1.6,1.4
"1792",36126,1.6,2.1,97.6,6.7,0.2,12.5,1.08,1.9,0.2,2.4
"1793",36127,2.1,0,97.3,6.9,0.2,12.3,1.06,1.7,1.2,3.3
"1794",36128,1.1,0,92.6,6.1,0.5,12.1,1.05,2.7,0.4,2.6
"1795",36129,-0.3,0,90.4,5.4,0.6,11.9,1.03,3.4,-0.6,0.6
"1796",36130,-3.4,0,80.2,3.8,1,11.8,1.02,3.7,-4.8,-0.4
"1797",36131,-4.9,0,85.5,3.6,0.6,11.6,1.01,3.7,-6.1,-3.1
"1798",36132,-3.1,0,90.3,4.4,0.5,11.5,0.99,2.2,-5.6,-2.2
"1799",36133,-0.8,3,90.7,5.2,0.5,11.4,0.98,2.8,-2.4,-0.3
"1800",36134,-0.2,3.2,91.3,5.5,0.5,13.1,1.13,4.8,-1.1,0.9
"1801",36135,-1.7,0.6,85.4,4.6,0.8,14.1,1.22,4.8,-2.7,-0.4
"1802",36136,-3.8,0,79.1,3.7,1,40.5,3.5,3.7,-5.8,-1.5
"1803",36137,-7,0,85.7,3.1,0.5,42.4,3.66,1.6,-9.5,-2.3
"1804",36138,-4.2,0,86.8,3.9,0.6,19.7,1.7,1.8,-10.1,-1.8
"1805",36139,-3.9,0,82.4,3.8,0.8,38.6,3.34,2.4,-6.4,0
"1806",36140,-7.4,0,85.8,3,0.5,21.6,1.87,3.5,-9,-4.4
"1807",36141,3,8.7,95,7.2,0.4,11.7,1.01,2.5,-7.7,4.5
"1808",36142,7,4.1,84.9,8.5,1.5,10.5,0.91,7.5,4.4,9.9
"1809",36143,8.2,1.9,95.6,10.4,0.5,10.4,0.9,3.5,4.4,10.1
"1810",36144,9.8,10.3,97.3,11.8,0.3,10.4,0.9,4,9.3,10.9
"1811",36145,6.2,0,88.7,8.4,1.1,13.2,1.14,3.9,5.4,9.6
"1812",36146,6,0,66.7,6.2,3.1,36.8,3.18,3,2.8,9
"1813",36147,4.6,0.4,81.8,6.9,1.6,23,1.98,3.5,3.3,7.4
"1814",36148,5.3,3,91,8.1,0.8,12,1.03,5.8,4.2,7.4
"1815",36149,1.8,2.2,88.2,6.2,0.8,31.8,2.75,3.6,-0.1,4.7
"1816",36150,0.2,0,90.4,5.6,0.6,34.6,2.99,3.2,-0.8,2.4
"1817",36151,1.1,1.6,95.6,6.3,0.3,12,1.03,2,-1,1.7
"1818",36152,1.4,0.2,90.5,6.1,0.6,22.3,1.92,2.9,-0.2,3.3
"1819",36153,1.7,0.1,87.5,6,0.9,10.3,0.89,3.5,-0.7,2.5
"1820",36154,4.7,2.4,84.6,7.2,1.3,10.3,0.89,5.7,1.1,5.7
"1821",36155,6.6,2.9,78.4,7.6,2.1,35.2,3.04,6.3,4.6,7.8
"1822",36156,9.9,1.6,69,8.4,3.8,16.3,1.41,6.3,6.4,11
"1823",36157,8.3,1.2,78,8.5,2.4,24.2,2.09,4.5,5.8,11.8
"1824",36158,3.8,0,86.8,7,1.1,36.2,3.13,2.9,2,6.8
"1825",36159,2,0,88.3,6.2,0.8,40.8,3.52,3.5,0.7,5
"1826",36160,0.7,0,89.4,5.7,0.7,38,3.28,2.5,-1.3,4.6
"1827",36161,-0.7,0,93.1,5.4,0.4,30.8,2.66,1.6,-3.2,1.8
"1828",36162,4.1,0.3,82.7,6.8,1.4,14.9,1.29,2.7,-1.4,6.8
"1829",36163,4.5,2.3,83.5,7,1.4,30.5,2.63,3,2.4,7.1
"1830",36164,8.8,1.5,90.3,10.2,1.1,11.9,1.03,4.4,2.9,11.9
"1831",36165,11.3,0,87.8,11.7,1.7,19.9,1.72,4.1,8.6,13.8
"1832",36166,10.7,0.6,65.4,8.4,4.5,43.1,3.73,4.3,7.9,14.5
"1833",36167,5.7,5.1,90.6,8.3,0.9,17.4,1.5,4.4,4,10.7
"1834",36168,4.3,7.5,90.3,7.5,0.8,22.1,1.91,3.4,3.4,6.5
"1835",36169,1.3,0.3,93.1,6.2,0.5,12.6,1.09,2.9,0,4
"1836",36170,-1.8,0.3,90.6,4.9,0.5,15.3,1.32,2.3,-3.6,0.2
"1837",36171,-1.8,2.1,92.4,5,0.4,13,1.12,3.3,-2.9,-1.3
"1838",36172,-1.3,2.2,90.8,5,0.5,13.1,1.13,3.7,-3,-0.2
"1839",36173,0,3.5,90.5,5.5,0.6,23.6,2.04,2.7,-2.8,1.6
"1840",36174,3.4,5.9,86,6.7,1.1,16.9,1.46,5.1,1,5.2
"1841",36175,7.1,0.3,79.7,8,2,13.7,1.19,6.2,2.7,8.4
"1842",36176,8.9,0,73.2,8.3,3.1,13.9,1.2,5.5,6.8,10.5
"1843",36177,6.8,0.3,82.1,8,1.8,18.5,1.6,2.3,4.9,10.1
"1844",36178,2.9,0,92.3,6.9,0.6,36.2,3.13,1.7,0.4,7.2
"1845",36179,6.7,0,70.9,6.9,2.9,51.3,4.43,4,0.9,9.3
"1846",36180,8.6,0,77,8.6,2.6,52.8,4.56,3.2,5.9,12
"1847",36181,6.7,0.5,81.1,7.9,1.9,45.5,3.93,2.1,2.6,9.3
"1848",36182,3.3,0,90.6,7,0.7,33.6,2.9,1.6,1.2,7.2
"1849",36183,3.8,0,93.4,7.5,0.5,15.7,1.36,2,0.8,6
"1850",36184,4.8,0,90.9,7.8,0.8,17.9,1.55,4,1.3,6.1
"1851",36185,9.8,6.1,84,10.2,2,16.3,1.41,6.3,5.3,12.4
"1852",36186,4.5,5.4,80.1,6.7,1.7,26.5,2.29,4.5,3.5,9.8
"1853",36187,2.7,3.5,92,6.8,0.6,27.1,2.34,2.4,0.7,5.1
"1854",36188,0.8,2.8,92.9,6,0.5,17.2,1.48,2.8,-1,2.9
"1855",36189,-3.6,0,73.2,3.4,1.2,54.1,4.67,3,-5.3,-0.3
"1856",36190,-2.9,0,84,4.2,0.8,62.7,5.42,2.1,-6.2,1.5
"1857",36191,-2.9,4.5,88.2,4.4,0.6,31.2,2.69,2,-8,-1
"1858",36192,3,1,98.1,7.4,0.1,19.4,1.68,2.7,-1.3,4.1
"1859",36193,3.2,0.7,98.1,7.5,0.1,19.8,1.71,3.1,1.2,4.1
"1860",36194,5.8,2.2,96.4,8.9,0.3,20.2,1.74,4.3,3.9,6.2
"1861",36195,7.6,5.7,87.8,9.2,1.3,20.6,1.78,7.3,6,8.9
"1862",36196,2.8,4.4,84.8,6.3,1.1,49.5,4.28,8.6,1.2,7.1
"1863",36197,1.8,10.4,86.9,6,0.9,57.4,4.96,5.8,0.6,4.4
"1864",36198,0.6,2.4,93.6,6,0.4,31.6,2.73,2.9,-0.1,2.1
"1865",36199,-0.6,1.2,89.6,5.2,0.6,46,3.98,3.8,-1.7,1.2
"1866",36200,-2.7,1,87.1,4.4,0.7,56.4,4.88,1.6,-4.5,0.4
"1867",36201,-2.5,0.6,90.4,4.6,0.5,32.8,2.83,2.5,-6.4,-0.5
"1868",36202,-2,0,87.8,4.7,0.7,48.9,4.23,1.5,-4.6,0
"1869",36203,-4.8,0,79.7,3.4,0.9,81.4,7.03,1.1,-7.3,0.2
"1870",36204,-3.4,0,89,4.3,0.5,27.2,2.35,2.2,-8.7,0.4
"1871",36205,-4.8,0,94,4,0.3,24.8,2.15,1.9,-5.7,-2.5
"1872",36206,-0.2,0.5,83.9,5.1,1,30,2.6,3.6,-6.7,1.8
"1873",36207,1.8,9.2,90,6.3,0.7,55.7,4.81,6.4,0.7,4.9
"1874",36208,-0.1,5.2,92,5.6,0.5,63.2,5.46,6.2,-1.2,1.6
"1875",36209,1.9,0.4,86,6,1,64.3,5.56,3.5,-1.2,4.2
"1876",36210,5.3,4.5,97.3,8.7,0.2,27.3,2.36,3.7,1.4,7.6
"1877",36211,4.9,0,79.9,6.9,1.8,65.7,5.68,3.2,2.7,7.9
"1878",36212,4,6.1,90.7,7.4,0.8,28.3,2.44,4.3,2.9,5.2
"1879",36213,1.6,4.2,88.1,6,0.8,45.1,3.9,5.2,0.6,4.3
"1880",36214,0.7,1.5,90.4,5.8,0.6,52.2,4.51,3.2,0,2.3
"1881",36215,1,1.3,88,5.8,0.8,67.3,5.81,3.2,-0.7,4.3
"1882",36216,2.2,1.7,83.9,6,1.2,57.9,5.01,3.7,-1.6,4.5
"1883",36217,6.1,0.3,91.4,8.6,0.8,30.9,2.67,4.9,1.8,7.2
"1884",36218,7.4,0,73,7.5,2.8,99.6,8.61,3.6,3.9,10.5
"1885",36219,6.9,1.2,69.4,6.9,3.1,98,8.47,5.2,4.7,9.7
"1886",36220,6.1,11.3,91.9,8.7,0.8,31.3,2.7,6.6,5,10
"1887",36221,7.1,11.8,91.4,9.2,0.9,50,4.32,3.5,3.6,9.1
"1888",36222,8.5,4.5,77.3,8.6,2.5,62,5.35,4.3,6.7,12
"1889",36223,8.4,2.9,73.3,8.1,2.9,87.6,7.57,2.7,5.8,12
"1890",36224,6,2.3,89.5,8.4,1,33.4,2.89,1.6,4.9,7.9
"1891",36225,5,0.2,79.7,7,1.8,63.6,5.5,4.7,3.7,7.2
"1892",36226,3.4,0,69.7,5.4,2.4,120.7,10.43,4,1.8,7.7
"1893",36227,3.7,0,75,6,2,121.3,10.48,2.2,-1.2,9
"1894",36228,4.6,2.5,87.4,7.4,1.1,44,3.8,2.7,1.7,6.1
"1895",36229,4.2,1,91.7,7.5,0.7,36.2,3.13,2.6,3,5.6
"1896",36230,1.4,0,78.1,5.3,1.5,41.9,3.62,2.5,0.4,3.6
"1897",36231,3.8,0,69.7,5.6,2.5,160.4,13.86,4.7,-1.6,8.8
"1898",36232,4.8,0.8,69.5,6,2.6,137,11.84,4.2,-0.5,9.7
"1899",36233,3.7,0,87.9,7,1,43.7,3.78,1.9,1.7,7
"1900",36234,4,0,85.9,7,1.2,39.1,3.38,2.3,2,6.4
"1901",36235,2.4,0,78.2,5.7,1.6,39.6,3.42,2.6,1.7,4.3
"1902",36236,3.9,0,68.9,5.6,2.5,151.9,13.13,3,-0.6,8.7
"1903",36237,6.1,0.7,67.4,6.4,3.1,159.5,13.78,2.4,-0.2,12
"1904",36238,5.2,0,80.7,7.1,1.7,85.7,7.41,3.8,3.5,9
"1905",36239,5,0.7,84.5,7.4,1.4,72,6.22,4.3,3.1,7.2
"1906",36240,6.1,1.5,82.4,7.7,1.7,56.3,4.86,3.5,4.3,8.9
"1907",36241,4.9,2.4,84.6,7.3,1.3,47.1,4.07,3,3.5,7.9
"1908",36242,3.6,3.2,82.9,6.6,1.3,100.7,8.7,4.5,1.9,8.4
"1909",36243,7.6,0.3,78,8.1,2.3,53,4.58,3.2,0.8,11.2
"1910",36244,12.9,0,62.5,9.2,5.5,179.9,15.55,2.7,2.7,19.4
"1911",36245,11.7,0.2,73.4,10.1,3.7,98.6,8.52,2.5,8.8,16.1
"1912",36246,7.7,0,84.2,8.8,1.7,58.1,5.02,2.9,5.8,11.8
"1913",36247,4.8,0.2,79.2,6.8,1.8,94,8.12,2.4,3.1,9.4
"1914",36248,6.5,0,73.2,7.1,2.6,185.7,16.05,1.5,-1.9,13.5
"1915",36249,9.7,0,72,8.6,3.4,198.2,17.12,1.8,1.4,17.7
"1916",36250,10.8,0,75.4,9.7,3.2,166.4,14.38,1.5,3.2,18.2
"1917",36251,12.1,0,60.8,8.5,5.5,205.2,17.73,2.7,3.7,19.4
"1918",36252,11.8,0,54.2,7.5,6.3,212.7,18.38,2.8,3.8,19.4
"1919",36253,12.9,0,52.4,7.7,7.2,174,15.03,2.2,7.2,20.3
"1920",36254,11.2,0,78,10.3,2.9,106.2,9.18,1.5,6.6,17.1
"1921",36255,12.2,0.3,80.5,11.4,2.8,121.8,10.52,3.2,5.5,16.8
"1922",36256,13.3,7.2,82.1,12.5,2.7,116.6,10.07,4.1,11.6,18.6
"1923",36257,9.4,6.1,84.4,9.9,1.8,90.1,7.78,4.3,8.3,12.5
"1924",36258,8.7,0,81.9,9.2,2,110.4,9.54,4,6.9,13.2
"1925",36259,11.5,0,75.8,10.2,3.3,180,15.56,3.5,6,14.6
"1926",36260,13.2,1.2,75.7,11.5,3.7,118.9,10.27,4,11.4,16.5
"1927",36261,8.4,0.5,76,8.4,2.6,146.3,12.64,4.4,6.2,13.3
"1928",36262,7.6,0.9,80,8.3,2.1,84.8,7.33,4.2,5,9.9
"1929",36263,5.7,3.9,85.2,7.8,1.4,136.9,11.83,4.1,3.3,10.4
"1930",36264,4.1,9.2,83.8,6.9,1.3,126.1,10.89,3.1,1.2,8.1
"1931",36265,4.2,0,78.4,6.5,1.8,124.7,10.78,3.3,1,7.7
"1932",36266,6.6,0.1,64.9,6.3,3.4,216.9,18.74,2.1,1.7,11.8
"1933",36267,6.1,3.2,77.4,7.3,2.1,87.8,7.58,2.5,3.4,9.4
"1934",36268,6.2,0,64.9,6.1,3.3,164.6,14.22,4.8,3.7,11.3
"1935",36269,5.6,0,62,5.6,3.5,245.4,21.2,2.6,-0.1,11.8
"1936",36270,8,0,54.1,5.8,4.9,260.9,22.55,2.7,-1.2,13.6
"1937",36271,8.4,6.5,84.6,9.3,1.7,107,9.25,2.8,3.8,11.2
"1938",36272,11.3,0.5,79.5,10.6,2.8,159.4,13.78,2.8,6.1,16.2
"1939",36273,12.4,17,68.7,9.9,4.5,241.8,20.89,1.6,5.9,18.5
"1940",36274,13.3,0.5,72,11,4.3,221.3,19.12,2.3,5.6,20
"1941",36275,12.9,2.8,76.5,11.4,3.5,207.4,17.92,1.9,7.2,19.9
"1942",36276,12.6,0,81,11.7,2.8,134.2,11.6,3.3,8,17.3
"1943",36277,10.8,0,84.8,10.9,2,112.2,9.7,4,8.1,16
"1944",36278,13.4,0,70.3,10.8,4.6,210.8,18.21,2.9,9.1,19.5
"1945",36279,11,0,62,8.1,5,260.9,22.54,2.9,7.7,16.8
"1946",36280,12.8,0,58.5,8.6,6.1,284.7,24.6,2.5,3.1,19.8
"1947",36281,10.7,0,65.2,8.3,4.5,246.3,21.28,2.4,4.3,17.2
"1948",36282,10.7,0,64.3,8.2,4.6,249.1,21.52,1.6,2.3,16.1
"1949",36283,11.4,0,59.4,8,5.5,268.1,23.16,2.4,6,17.7
"1950",36284,12.6,0,49.1,7.1,7.4,280.3,24.22,4.4,2.7,17.8
"1951",36285,12.8,0,43.4,6.4,8.3,227.1,19.62,6.3,6.7,17.3
"1952",36286,12.3,0,46.1,6.6,7.7,95.9,8.28,5.1,8.5,15.4
"1953",36287,13.9,2.1,62.9,9.9,5.9,186.2,16.09,2.8,8.7,19.1
"1954",36288,11.9,1.3,88.5,12.3,1.6,96,8.29,2.4,9.3,16.5
"1955",36289,14.5,0,72.8,11.9,4.5,167.4,14.47,2.5,9.1,19.7
"1956",36290,15.5,2,72.9,12.8,4.7,169.9,14.68,2.4,8.8,22.6
"1957",36291,13.3,3.2,84.7,12.9,2.3,206.9,17.88,2.9,9.9,19.1
"1958",36292,12.3,2.4,86.9,12.4,1.9,153.7,13.28,2.4,9.3,16.6
"1959",36293,11.3,4.2,84.6,11.3,2.1,145.6,12.58,3.1,9,16
"1960",36294,11.4,4.5,85.5,11.5,2,186.1,16.08,2.5,7.7,17
"1961",36295,8.5,0,72.6,8,3,188.5,16.29,3.5,4.7,11.8
"1962",36296,9.9,0,68,8.3,3.9,166.4,14.37,1.9,6.3,14.2
"1963",36297,12.1,0,43.4,6.1,8,312.2,26.97,4.2,4.9,16.8
"1964",36298,14,0,46.5,7.4,8.5,318,27.48,5.3,5.7,19.6
"1965",36299,17.2,0,48.1,9.4,10.2,315.4,27.25,4.6,8.3,22.5
"1966",36300,17,0,66,12.7,6.6,265.2,22.91,2.2,11.8,22.6
"1967",36301,18.3,0,67.5,14.1,6.8,250.1,21.61,2.4,11,23.8
"1968",36302,12,0,73.9,10.3,3.7,157.6,13.62,2.8,9.7,17.3
"1969",36303,14,0,64.1,10.2,5.8,212.6,18.37,3.2,5.5,19.5
"1970",36304,16.4,0,68.3,12.7,5.9,207.9,17.96,2.8,10.4,21.1
"1971",36305,13.8,0,69.7,11,4.8,182.5,15.77,2.9,11,19.2
"1972",36306,15.2,0,62.5,10.7,6.5,285.1,24.64,1.4,5.2,20.8
"1973",36307,19.7,0,50.9,11.6,11.3,324.9,28.07,1.5,8.6,26.6
"1974",36308,20.3,16.3,61.6,14.6,9.1,279.8,24.17,2.6,10.6,29.8
"1975",36309,20.9,0,64.6,15.8,8.8,311.6,26.92,2,13.3,27.1
"1976",36310,19.3,16.1,75.9,16.9,5.4,241.9,20.9,2.8,16.1,26.4
"1977",36311,13.4,9.9,90.3,13.8,1.5,157.4,13.6,2.3,12.1,16.8
"1978",36312,16.4,0,72.6,13.5,5.1,293,25.32,1.5,8,21.9
"1979",36313,19.8,20.9,71.8,16.5,6.5,289.8,25.04,2.6,11.9,27.4
"1980",36314,17.9,0.5,65.6,13.4,7.1,283.8,24.52,3.8,14.5,22
"1981",36315,16.1,1.8,70.5,12.8,5.4,205.4,17.75,4.1,14.3,19.3
"1982",36316,12.8,6.9,88.4,13,1.7,163.1,14.09,2.7,11.6,17.9
"1983",36317,13.8,0.4,77.6,12.2,3.5,189.4,16.37,3.6,10.7,18.2
"1984",36318,16.6,0,62.7,11.8,7.1,312.1,26.96,2.4,9,21.5
"1985",36319,12.7,2.3,82.9,12.1,2.5,157,13.57,2.7,10.7,17.1
"1986",36320,13.8,0,66.2,10.4,5.3,283.6,24.5,3.4,7.8,19
"1987",36321,15.7,0.7,63.8,11.3,6.5,290.7,25.11,2.4,8.4,20
"1988",36322,13.1,3.6,84.6,12.7,2.3,142,12.27,1.7,10.8,17.5
"1989",36323,14.8,0,74.1,12.4,4.4,256.1,22.13,1.3,7.4,19.6
"1990",36324,16.9,0,64.3,12.3,6.9,296.4,25.61,1.7,8.2,22
"1991",36325,16.8,0,63.6,12.1,6.9,283.5,24.49,2,9.4,22.1
"1992",36326,17.7,0,64.4,13,7.3,276.8,23.91,1.6,9.7,23.1
"1993",36327,19.2,0,61.1,13.5,8.7,286.9,24.79,1.4,10.1,24.6
"1994",36328,17.8,2.1,71.1,14.5,5.9,247,21.34,2.6,12.1,25.9
"1995",36329,14.8,0,66.5,11.1,5.6,243.9,21.07,3.8,10.9,19.5
"1996",36330,16.4,0,64.3,12,6.7,296.7,25.64,2.1,9.3,22.4
"1997",36331,16.7,6.3,70.3,13.3,5.7,236.5,20.43,3.6,11.9,23.1
"1998",36332,12.6,3.3,73.8,10.8,3.8,250.5,21.64,2.7,10.5,17.6
"1999",36333,12.3,0,68.8,9.8,4.5,268.3,23.18,3.2,6.4,17.4
"2000",36334,13.2,0,70,10.6,4.6,175.2,15.14,1.6,7,17.5
"2001",36335,13.3,0,64.2,9.7,5.5,218.9,18.92,1.9,7.8,17.9
"2002",36336,13.5,0,65.7,10.1,5.3,198,17.11,1.6,8.1,17.9
"2003",36337,16.4,0,59.2,10.9,7.6,297.9,25.74,1.5,7.6,21.8
"2004",36338,20.4,0.7,69.2,16.4,7.4,206.5,17.84,2.5,11.4,25.5
"2005",36339,15.8,0.5,71.3,12.8,5.1,183,15.81,3.1,13.5,21.3
"2006",36340,19,0,64.4,14,7.8,241.7,20.89,3.2,10.1,23.8
"2007",36341,18.6,9.2,82.1,17.5,3.9,233.7,20.19,2.3,15.5,25.5
"2008",36342,17.2,0.3,76.6,14.9,4.6,182.6,15.78,1.6,12.2,21
"2009",36343,17.5,1,84,16.7,3.3,166.7,14.4,2.2,14.3,23
"2010",36344,23.6,0,63.6,18.4,10.5,298.3,25.77,2.9,12.5,30.2
"2011",36345,22.7,0,66.3,18.2,9.3,270.1,23.33,2.3,16.3,27.8
"2012",36346,23.1,0.3,68.6,19.3,8.9,280.5,24.24,3.5,19.4,31.1
"2013",36347,18,1.1,79.8,16.4,4.2,91.3,7.89,2,16.6,21
"2014",36348,17.3,1.2,80.3,15.8,3.9,125.1,10.81,2.1,14.8,20.9
"2015",36349,18.3,0,67,14,7,240.8,20.81,2.5,12.4,23.8
"2016",36350,19.3,0,51.9,11.6,10.8,325.6,28.13,3.8,11.4,25.5
"2017",36351,22,0,58.6,15.4,10.9,280.8,24.26,3.8,12.1,28.5
"2018",36352,24.3,0,49.6,14.9,15.3,307.6,26.58,3.7,15.6,29.5
"2019",36353,22.1,1.1,73.4,19.4,7.1,241.5,20.86,2.7,17.7,29.1
"2020",36354,21.8,0,75.8,19.6,6.3,224.4,19.39,1.7,16,28.6
"2021",36355,17.5,3.3,70.2,14,6,190.5,16.46,4,15.5,22.6
"2022",36356,16,0,71.6,13,5.1,208.9,18.05,3.2,12.3,21
"2023",36357,17.8,0,60.9,12.3,7.9,254.1,21.96,2.6,10.6,23.1
"2024",36358,20.7,0,62,15.1,9.3,231.2,19.98,2.7,12.9,26.7
"2025",36359,23,0,58.5,16.3,11.6,307.8,26.6,1.7,13.8,30.7
"2026",36360,24.8,8.4,53.6,16.6,14.5,286.6,24.76,2.8,15.8,34.1
"2027",36361,21.5,1.8,75,19.1,6.4,206.2,17.81,2.6,17.5,27.9
"2028",36362,18.7,0.1,62.9,13.4,8,232.3,20.07,4.8,16.3,23.7
"2029",36363,16.1,4.4,70.8,12.9,5.3,160.1,13.83,4.7,13.1,20.3
"2030",36364,15,0.1,75.7,12.9,4.1,110.8,9.57,3.8,13.3,18.5
"2031",36365,19.6,0,72.8,16.5,6.2,125.8,10.87,2.7,12.7,24.2
"2032",36366,22.2,2.3,65.9,17.5,9.1,251.8,21.75,2,14.3,28
"2033",36367,17.1,0,63,12.3,7.2,230.6,19.93,2.9,14.6,23.2
"2034",36368,16.9,0,60.7,11.6,7.6,260.2,22.48,2.2,10.5,22.3
"2035",36369,19.5,0,53,12,10.6,304.6,26.32,3.2,9.8,25.9
"2036",36370,20.7,0,51.2,12.4,11.9,296,25.57,2.6,10.9,27.3
"2037",36371,21.6,0,49.2,12.6,13.1,270.1,23.33,2.1,12.6,28.8
"2038",36372,22.7,0,45.1,12.4,15.1,276,23.85,2.4,13.5,29.7
"2039",36373,22.9,0,43.3,12,15.8,282.2,24.38,2.9,14.7,30.3
"2040",36374,22.3,0,44.9,12,14.8,288.1,24.89,2.6,13.9,29.8
"2041",36375,22.3,0,44,11.8,15.1,286.8,24.78,2.8,13,30.3
"2042",36376,22.9,0,40.5,11.2,16.6,280.6,24.24,2.4,12.9,30.9
"2043",36377,21.2,0,65.5,16.3,8.7,164.4,14.2,2.6,13.7,26.3
"2044",36378,21,0,66.8,16.5,8.2,216.3,18.69,2.6,16.3,27.3
"2045",36379,19.8,0.5,79.4,18.2,4.8,132.8,11.47,2.2,13,24.3
"2046",36380,20.7,1.3,75.8,18.4,5.9,198.2,17.12,2.6,14.9,26.6
"2047",36381,19.9,4.5,70.1,16.3,6.9,227.1,19.62,3,15.7,27.1
"2048",36382,18.4,4.9,86,18.1,3,162.5,14.04,1.9,13.4,24.8
"2049",36383,15.2,0,74.8,12.9,4.4,146.6,12.67,3.4,13,19.2
"2050",36384,14.9,0,71,12,4.9,87.5,7.56,2.4,11.4,19
"2051",36385,14.9,0,67,11.3,5.6,211.7,18.29,2.2,9.4,20.8
"2052",36386,15.4,18.8,79.3,13.8,3.6,79.5,6.87,2.7,10.5,19.6
"2053",36387,14.9,1.3,79.1,13.3,3.6,176.1,15.22,4,13.1,20.1
"2054",36388,15.4,18.5,76.2,13.3,4.1,205.9,17.79,2.7,11.3,21.2
"2055",36389,13.8,8.2,88.6,13.9,1.8,96,8.29,1.8,11.9,18.5
"2056",36390,15.7,2.4,78.9,14,3.7,163.6,14.14,2.9,9.1,21.4
"2057",36391,16.2,0,72.7,13.3,5,152.3,13.16,4.9,12.1,20.4
"2058",36392,16,1.3,80.3,14.6,3.6,96.7,8.35,4.5,13.9,18.4
"2059",36393,14,0.1,79,12.6,3.3,113.4,9.8,3.3,12.7,18.6
"2060",36394,14.1,0,75.1,12,4,84.7,7.32,2.6,10.4,17.7
"2061",36395,14,0,72.8,11.6,4.3,85.1,7.35,1.2,12,18.5
"2062",36396,16.3,0,62,11.4,7,229.2,19.8,2.1,9.1,22.3
"2063",36397,20.2,0,51.8,12.2,11.4,204.9,17.7,3.8,9.6,25.8
"2064",36398,18.2,3.1,80,16.6,4.2,55.6,4.81,2.8,16.8,21.3
"2065",36399,18.7,0,77.7,16.7,4.8,178.1,15.39,2.5,14.9,23.1
"2066",36400,16.8,0,79.4,15.1,3.9,128.9,11.13,1.7,14.6,22
"2067",36401,16,0,79,14.3,3.8,169.8,14.67,1.1,10.3,21.9
"2068",36402,17.6,3.5,71.9,14.4,5.6,159.3,13.76,1.6,10.5,23.3
"2069",36403,15.1,0.2,83.4,14.2,2.9,143.8,12.42,2.6,13.1,20.1
"2070",36404,14.7,0,73.5,12.2,4.4,192.5,16.64,2.7,10.3,20.6
"2071",36405,15.3,0,68.5,11.8,5.5,231,19.96,1.4,7.4,22.6
"2072",36406,17.8,0,70,14.2,6.1,227.4,19.64,2.5,9.6,24.4
"2073",36407,19.9,0,55.8,12.9,10.2,196.9,17.01,2.7,13.9,27.4
"2074",36408,19.4,0,57.3,12.9,9.6,220.9,19.08,3.1,10.3,27
"2075",36409,18.6,0,65.8,14,7.3,206.9,17.88,2.3,10.8,25.9
"2076",36410,19.2,0,78.3,17.3,4.8,148.8,12.86,2,14.4,24.8
"2077",36411,18.8,0,78.5,16.9,4.7,169.2,14.62,1.6,13.7,25
"2078",36412,20.6,0,67.4,16.3,7.9,201.1,17.37,1.6,13.2,29.1
"2079",36413,20.9,0,75.8,18.6,6,155.3,13.42,2.2,15.5,27
"2080",36414,21.3,0,60,15.1,10.1,200.1,17.29,2.9,14.4,28.7
"2081",36415,21.3,0,59.3,14.9,10.2,204.1,17.64,2.3,15.3,30
"2082",36416,21.2,0,52.3,13.1,12,199.3,17.22,2.7,13,28.3
"2083",36417,20.4,0,52,12.4,11.5,194.9,16.84,2.5,13.5,28.2
"2084",36418,19.2,0,49.3,11,11.3,186.9,16.15,2.9,12,26.9
"2085",36419,14.1,0.1,74.9,11.9,4.1,109.2,9.43,2.2,10.9,19.6
"2086",36420,16.3,0,65.8,12.1,6.3,156.8,13.55,1.9,8.9,22.8
"2087",36421,14.7,0,83.4,13.9,2.8,86.5,7.47,1.4,12.2,19.3
"2088",36422,19.1,0,76.7,16.9,5.1,141.5,12.22,3.2,10.7,24.2
"2089",36423,20.6,6.2,68.4,16.5,7.6,118.1,10.21,3.9,16.2,25.6
"2090",36424,17.2,0.7,72.9,14.2,5.3,153.9,13.3,2.4,14.4,22.7
"2091",36425,16.4,1.1,83.8,15.5,3,86.1,7.44,2.2,11.8,20.2
"2092",36426,17.2,4.2,85.3,16.6,2.9,115.6,9.99,2.2,14.5,21.9
"2093",36427,17.6,0,73.2,14.7,5.4,153.7,13.28,3,14.3,22.8
"2094",36428,16.6,0,77,14.4,4.4,117.4,10.14,2.5,13.9,21.9
"2095",36429,14.6,10.1,90.4,15,1.6,55.3,4.78,2,12.4,18.3
"2096",36430,16.4,0,73,13.5,5,133.9,11.57,3.5,10.9,19.6
"2097",36431,15.3,3.6,78.3,13.6,3.8,82.6,7.13,3.8,13.2,19.8
"2098",36432,14.3,16.6,88.9,14.5,1.8,67.9,5.87,3.6,11.3,17.5
"2099",36433,14.7,5.6,90.2,15,1.6,35.1,3.03,3.3,13.2,17.1
"2100",36434,13.2,1.7,78.1,11.8,3.3,102.9,8.89,5.4,11.1,15.6
"2101",36435,13.2,8.9,77.3,11.7,3.5,65.9,5.69,5.3,10,19
